,0,1,2,3,4,5,6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.7341169887950468,0.9999977084476223,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.9999965240820335,0.0,0.0
3,0.0,0.0,0.484333023411503,0.0,0.9999965240820335,0.0,0.0
4,0.0,0.6668579747739898,0.9999974998996378,0.0,0.0,0.0,0.0
5,0.0,0.9999976365338521,0.7213424912709993,0.0,0.0,0.0,0.0
6,0.0,0.0,0.999997768935346,0.0,0.0,0.0,0.0
7,0.0,0.0,0.6067705797704009,0.6150354348427246,0.0,0.0,0.9999972156868591
8,0.0,0.0,0.0,0.0,0.0,0.9999971355524298,0.0
9,0.0,0.0,0.6490395536529718,0.9999973850002427,0.0,0.0,0.0
10,0.0,0.0,0.7400155855397103,0.9999976921205751,0.0,0.0,0.0
11,0.0,0.7223066486883333,0.7524121478975272,0.9999976500451944,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.9999964229516282
13,0.0,0.0,0.9999978607819465,0.0,0.0,0.0,0.0
14,0.0,0.0,0.9999978397205908,0.0,0.0,0.0,0.0
15,0.0,0.9999975639411688,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.5851545584509136,0.0,0.0,0.9999971355524298,0.0
17,0.0,0.9999975209593174,0.6832825073479151,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.9999975965286967,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.9999961416689593
